Número de Orden,Número de Mesa,Nombre del Plato,Descripción del Plato,Costo Unitario,Precio Unitario,Cantidad Ordenada,Tiempo de Preparación,Observaciones
130,10,Plato_8,Descripción del Plato_8,21,35,1,25,Sin cebolla
131,7,Plato_20,Descripción del Plato_20,25,40,1,43,Sin cebolla
131,7,Plato_4,Descripción del Plato_4,10,18,3,20,Ninguna
131,7,Plato_13,Descripción del Plato_13,13,21,3,57,Sin cebolla
132,9,Plato_14,Descripción del Plato_14,14,23,1,6,Sin cebolla
132,9,Plato_19,Descripción del Plato_19,22,36,1,18,Ninguna
132,9,Plato_13,Descripción del Plato_13,13,21,2,53,Ninguna
132,9,Plato_8,Descripción del Plato_8,21,35,3,25,Sin cebolla
133,20,Plato_15,Descripción del Plato_15,19,32,1,5,Ninguna
133,20,Plato_18,Descripción del Plato_18,20,34,1,45,Sin cebolla
133,20,Plato_17,Descripción del Plato_17,19,31,2,46,Ninguna
133,20,Plato_4,Descripción del Plato_4,10,18,3,11,Ninguna
134,3,Plato_7,Descripción del Plato_7,14,24,1,19,Ninguna
134,3,Plato_15,Descripción del Plato_15,19,32,3,29,Ninguna
135,11,Plato_17,Descripción del Plato_17,19,31,3,17,Ninguna
135,11,Plato_20,Descripción del Plato_20,25,40,2,42,Ninguna
135,11,Plato_9,Descripción del Plato_9,17,29,3,29,Sin cebolla
136,6,Plato_20,Descripción del Plato_20,25,40,2,13,Sin cebolla
137,13,Plato_13,Descripción del Plato_13,13,21,3,41,Sin cebolla
138,6,Plato_17,Descripción del Plato_17,19,31,2,40,Ninguna
138,6,Plato_12,Descripción del Plato_12,11,19,2,6,Ninguna
138,6,Plato_10,Descripción del Plato_10,15,26,3,7,Sin cebolla
138,6,Plato_2,Descripción del Plato_2,18,30,2,44,Sin cebolla
139,16,Plato_8,Descripción del Plato_8,21,35,1,26,Ninguna
140,11,Plato_1,Descripción del Plato_1,15,25,2,35,Ninguna
140,11,Plato_8,Descripción del Plato_8,21,35,3,35,Sin cebolla
140,11,Plato_4,Descripción del Plato_4,10,18,2,48,Sin cebolla
141,4,Plato_13,Descripción del Plato_13,13,21,1,28,Sin cebolla
142,14,Plato_7,Descripción del Plato_7,14,24,3,37,Ninguna
142,14,Plato_14,Descripción del Plato_14,14,23,3,11,Sin cebolla
142,14,Plato_20,Descripción del Plato_20,25,40,1,22,Ninguna
143,9,Plato_1,Descripción del Plato_1,15,25,2,16,Sin cebolla
144,18,Plato_19,Descripción del Plato_19,22,36,1,27,Sin cebolla
144,18,Plato_12,Descripción del Plato_12,11,19,3,51,Ninguna
144,18,Plato_9,Descripción del Plato_9,17,29,2,38,Ninguna
144,18,Plato_18,Descripción del Plato_18,20,34,1,34,Sin cebolla
145,2,Plato_5,Descripción del Plato_5,13,22,3,59,Ninguna
145,2,Plato_2,Descripción del Plato_2,18,30,2,47,Sin cebolla
146,8,Plato_17,Descripción del Plato_17,19,31,2,47,Sin cebolla
147,5,Plato_20,Descripción del Plato_20,25,40,1,13,Sin cebolla
147,5,Plato_5,Descripción del Plato_5,13,22,2,20,Ninguna
148,10,Plato_9,Descripción del Plato_9,17,29,2,31,Ninguna
148,10,Plato_18,Descripción del Plato_18,20,34,2,57,Ninguna
148,10,Plato_3,Descripción del Plato_3,12,20,3,46,Ninguna
148,10,Plato_10,Descripción del Plato_10,15,26,1,25,Ninguna
149,18,Plato_18,Descripción del Plato_18,20,34,3,28,Sin cebolla
149,18,Plato_2,Descripción del Plato_2,18,30,1,38,Sin cebolla
149,18,Plato_4,Descripción del Plato_4,10,18,2,25,Ninguna
149,18,Plato_9,Descripción del Plato_9,17,29,2,48,Sin cebolla
150,18,Plato_5,Descripción del Plato_5,13,22,2,19,Ninguna
150,18,Plato_11,Descripción del Plato_11,20,33,2,57,Sin cebolla
150,18,Plato_3,Descripción del Plato_3,12,20,2,30,Sin cebolla
151,6,Plato_14,Descripción del Plato_14,14,23,3,13,Ninguna
151,6,Plato_13,Descripción del Plato_13,13,21,3,6,Ninguna
152,5,Plato_16,Descripción del Plato_16,16,28,2,12,Ninguna
153,10,Plato_11,Descripción del Plato_11,20,33,3,10,Sin cebolla
153,10,Plato_7,Descripción del Plato_7,14,24,1,53,Sin cebolla
153,10,Plato_20,Descripción del Plato_20,25,40,2,26,Ninguna
154,11,Plato_19,Descripción del Plato_19,22,36,3,52,Ninguna
154,11,Plato_4,Descripción del Plato_4,10,18,2,30,Ninguna
155,7,Plato_6,Descripción del Plato_6,16,27,2,24,Sin cebolla
155,7,Plato_17,Descripción del Plato_17,19,31,2,43,Ninguna
155,7,Plato_3,Descripción del Plato_3,12,20,1,33,Sin cebolla
156,6,Plato_16,Descripción del Plato_16,16,28,2,6,Ninguna
157,13,Plato_1,Descripción del Plato_1,15,25,3,48,Sin cebolla
157,13,Plato_16,Descripción del Plato_16,16,28,1,54,Sin cebolla
157,13,Plato_2,Descripción del Plato_2,18,30,2,27,Ninguna
157,13,Plato_19,Descripción del Plato_19,22,36,3,21,Ninguna
158,5,Plato_12,Descripción del Plato_12,11,19,1,57,Ninguna
158,5,Plato_10,Descripción del Plato_10,15,26,3,55,Ninguna
158,5,Plato_19,Descripción del Plato_19,22,36,3,7,Ninguna
158,5,Plato_8,Descripción del Plato_8,21,35,3,16,Sin cebolla
159,16,Plato_9,Descripción del Plato_9,17,29,3,23,Sin cebolla
159,16,Plato_17,Descripción del Plato_17,19,31,1,5,Ninguna
159,16,Plato_4,Descripción del Plato_4,10,18,2,6,Ninguna
159,16,Plato_11,Descripción del Plato_11,20,33,3,40,Ninguna
160,19,Plato_19,Descripción del Plato_19,22,36,3,20,Ninguna
160,19,Plato_7,Descripción del Plato_7,14,24,2,47,Ninguna
161,13,Plato_16,Descripción del Plato_16,16,28,3,57,Ninguna
162,14,Plato_7,Descripción del Plato_7,14,24,3,25,Ninguna
163,6,Plato_17,Descripción del Plato_17,19,31,3,8,Sin cebolla
163,6,Plato_2,Descripción del Plato_2,18,30,3,16,Sin cebolla
163,6,Plato_11,Descripción del Plato_11,20,33,2,40,Sin cebolla
163,6,Plato_5,Descripción del Plato_5,13,22,1,7,Ninguna
164,8,Plato_5,Descripción del Plato_5,13,22,1,43,Sin cebolla
164,8,Plato_19,Descripción del Plato_19,22,36,1,7,Ninguna
164,8,Plato_15,Descripción del Plato_15,19,32,2,20,Ninguna
164,8,Plato_7,Descripción del Plato_7,14,24,2,35,Ninguna
165,10,Plato_7,Descripción del Plato_7,14,24,2,15,Sin cebolla
165,10,Plato_13,Descripción del Plato_13,13,21,2,41,Ninguna
166,12,Plato_14,Descripción del Plato_14,14,23,2,22,Sin cebolla
167,5,Plato_12,Descripción del Plato_12,11,19,1,29,Ninguna
167,5,Plato_18,Descripción del Plato_18,20,34,3,11,Ninguna
167,5,Plato_17,Descripción del Plato_17,19,31,1,36,Sin cebolla
168,17,Plato_5,Descripción del Plato_5,13,22,2,7,Sin cebolla
169,19,Plato_13,Descripción del Plato_13,13,21,2,44,Sin cebolla
169,19,Plato_18,Descripción del Plato_18,20,34,2,59,Sin cebolla
169,19,Plato_5,Descripción del Plato_5,13,22,2,7,Ninguna
170,12,Plato_3,Descripción del Plato_3,12,20,3,16,Ninguna
170,12,Plato_9,Descripción del Plato_9,17,29,3,16,Ninguna
170,12,Plato_19,Descripción del Plato_19,22,36,1,33,Sin cebolla
170,12,Plato_2,Descripción del Plato_2,18,30,2,8,Sin cebolla
171,16,Plato_10,Descripción del Plato_10,15,26,2,29,Ninguna
171,16,Plato_9,Descripción del Plato_9,17,29,3,22,Sin cebolla
172,12,Plato_18,Descripción del Plato_18,20,34,2,27,Sin cebolla
173,11,Plato_6,Descripción del Plato_6,16,27,3,15,Sin cebolla
173,11,Plato_15,Descripción del Plato_15,19,32,3,52,Sin cebolla
174,10,Plato_2,Descripción del Plato_2,18,30,2,12,Sin cebolla
175,14,Plato_15,Descripción del Plato_15,19,32,3,9,Sin cebolla
175,14,Plato_7,Descripción del Plato_7,14,24,2,38,Ninguna
176,20,Plato_13,Descripción del Plato_13,13,21,3,48,Sin cebolla
177,4,Plato_7,Descripción del Plato_7,14,24,2,10,Sin cebolla
177,4,Plato_10,Descripción del Plato_10,15,26,1,40,Ninguna
177,4,Plato_13,Descripción del Plato_13,13,21,2,45,Sin cebolla
177,4,Plato_12,Descripción del Plato_12,11,19,3,47,Ninguna
178,11,Plato_2,Descripción del Plato_2,18,30,1,55,Sin cebolla
178,11,Plato_8,Descripción del Plato_8,21,35,1,16,Sin cebolla
178,11,Plato_5,Descripción del Plato_5,13,22,2,20,Ninguna
178,11,Plato_11,Descripción del Plato_11,20,33,3,55,Ninguna
179,12,Plato_17,Descripción del Plato_17,19,31,2,26,Ninguna
180,10,Plato_9,Descripción del Plato_9,17,29,1,35,Sin cebolla
180,10,Plato_2,Descripción del Plato_2,18,30,3,20,Sin cebolla
180,10,Plato_3,Descripción del Plato_3,12,20,1,50,Ninguna
180,10,Plato_6,Descripción del Plato_6,16,27,1,56,Ninguna
181,15,Plato_6,Descripción del Plato_6,16,27,1,55,Sin cebolla
182,18,Plato_12,Descripción del Plato_12,11,19,2,11,Sin cebolla
183,18,Plato_15,Descripción del Plato_15,19,32,2,52,Ninguna
183,18,Plato_10,Descripción del Plato_10,15,26,1,10,Ninguna
183,18,Plato_3,Descripción del Plato_3,12,20,3,58,Ninguna
183,18,Plato_8,Descripción del Plato_8,21,35,3,46,Ninguna
184,4,Plato_16,Descripción del Plato_16,16,28,3,6,Sin cebolla
184,4,Plato_6,Descripción del Plato_6,16,27,3,10,Ninguna
184,4,Plato_3,Descripción del Plato_3,12,20,2,13,Sin cebolla
185,16,Plato_13,Descripción del Plato_13,13,21,3,34,Ninguna
185,16,Plato_16,Descripción del Plato_16,16,28,1,6,Sin cebolla
186,13,Plato_6,Descripción del Plato_6,16,27,3,16,Ninguna
186,13,Plato_15,Descripción del Plato_15,19,32,3,23,Sin cebolla
186,13,Plato_17,Descripción del Plato_17,19,31,3,54,Ninguna
187,5,Plato_18,Descripción del Plato_18,20,34,2,28,Sin cebolla
187,5,Plato_10,Descripción del Plato_10,15,26,1,51,Ninguna
187,5,Plato_9,Descripción del Plato_9,17,29,3,11,Ninguna
187,5,Plato_6,Descripción del Plato_6,16,27,1,36,Sin cebolla
188,20,Plato_17,Descripción del Plato_17,19,31,1,58,Ninguna
188,20,Plato_10,Descripción del Plato_10,15,26,2,47,Ninguna
189,11,Plato_18,Descripción del Plato_18,20,34,2,42,Sin cebolla
189,11,Plato_10,Descripción del Plato_10,15,26,2,22,Sin cebolla
189,11,Plato_7,Descripción del Plato_7,14,24,3,53,Sin cebolla
190,5,Plato_4,Descripción del Plato_4,10,18,1,39,Ninguna
190,5,Plato_20,Descripción del Plato_20,25,40,2,45,Ninguna
190,5,Plato_8,Descripción del Plato_8,21,35,1,11,Sin cebolla
190,5,Plato_14,Descripción del Plato_14,14,23,3,7,Sin cebolla
191,12,Plato_1,Descripción del Plato_1,15,25,3,32,Sin cebolla
191,12,Plato_9,Descripción del Plato_9,17,29,3,55,Ninguna
192,17,Plato_1,Descripción del Plato_1,15,25,3,26,Ninguna
193,3,Plato_10,Descripción del Plato_10,15,26,2,57,Sin cebolla
193,3,Plato_19,Descripción del Plato_19,22,36,2,59,Ninguna
193,3,Plato_6,Descripción del Plato_6,16,27,1,31,Sin cebolla
193,3,Plato_14,Descripción del Plato_14,14,23,3,24,Ninguna
194,3,Plato_11,Descripción del Plato_11,20,33,2,18,Ninguna
194,3,Plato_2,Descripción del Plato_2,18,30,1,50,Ninguna
195,2,Plato_1,Descripción del Plato_1,15,25,2,51,Ninguna
196,4,Plato_3,Descripción del Plato_3,12,20,3,34,Sin cebolla
196,4,Plato_14,Descripción del Plato_14,14,23,2,51,Ninguna
196,4,Plato_9,Descripción del Plato_9,17,29,1,47,Sin cebolla
196,4,Plato_16,Descripción del Plato_16,16,28,2,44,Sin cebolla
197,5,Plato_18,Descripción del Plato_18,20,34,3,22,Ninguna
197,5,Plato_6,Descripción del Plato_6,16,27,1,50,Ninguna
198,9,Plato_6,Descripción del Plato_6,16,27,2,33,Ninguna
199,11,Plato_9,Descripción del Plato_9,17,29,3,31,Ninguna
199,11,Plato_8,Descripción del Plato_8,21,35,3,41,Sin cebolla
199,11,Plato_13,Descripción del Plato_13,13,21,2,18,Sin cebolla
199,11,Plato_6,Descripción del Plato_6,16,27,1,52,Sin cebolla
200,11,Plato_12,Descripción del Plato_12,11,19,2,39,Ninguna
200,11,Plato_1,Descripción del Plato_1,15,25,2,28,Sin cebolla
201,3,Plato_7,Descripción del Plato_7,14,24,3,58,Sin cebolla
202,16,Plato_19,Descripción del Plato_19,22,36,2,46,Sin cebolla
202,16,Plato_20,Descripción del Plato_20,25,40,2,47,Ninguna
202,16,Plato_7,Descripción del Plato_7,14,24,1,5,Ninguna
202,16,Plato_2,Descripción del Plato_2,18,30,1,58,Ninguna
203,5,Plato_17,Descripción del Plato_17,19,31,3,51,Ninguna
203,5,Plato_13,Descripción del Plato_13,13,21,3,34,Sin cebolla
204,16,Plato_7,Descripción del Plato_7,14,24,2,21,Ninguna
205,14,Plato_15,Descripción del Plato_15,19,32,1,34,Ninguna
205,14,Plato_9,Descripción del Plato_9,17,29,1,52,Sin cebolla
206,4,Plato_2,Descripción del Plato_2,18,30,1,58,Sin cebolla
207,20,Plato_10,Descripción del Plato_10,15,26,2,37,Ninguna
207,20,Plato_8,Descripción del Plato_8,21,35,1,55,Sin cebolla
207,20,Plato_17,Descripción del Plato_17,19,31,3,19,Sin cebolla
208,16,Plato_15,Descripción del Plato_15,19,32,1,18,Sin cebolla
208,16,Plato_19,Descripción del Plato_19,22,36,3,29,Sin cebolla
208,16,Plato_3,Descripción del Plato_3,12,20,2,53,Ninguna
209,9,Plato_14,Descripción del Plato_14,14,23,3,35,Sin cebolla
209,9,Plato_18,Descripción del Plato_18,20,34,2,40,Sin cebolla
209,9,Plato_1,Descripción del Plato_1,15,25,1,42,Ninguna
209,9,Plato_10,Descripción del Plato_10,15,26,2,54,Ninguna
210,10,Plato_13,Descripción del Plato_13,13,21,1,28,Sin cebolla
210,10,Plato_2,Descripción del Plato_2,18,30,1,50,Ninguna
210,10,Plato_7,Descripción del Plato_7,14,24,1,34,Ninguna
210,10,Plato_20,Descripción del Plato_20,25,40,3,46,Ninguna
211,1,Plato_13,Descripción del Plato_13,13,21,3,54,Sin cebolla
211,1,Plato_4,Descripción del Plato_4,10,18,2,45,Ninguna
211,1,Plato_1,Descripción del Plato_1,15,25,2,9,Ninguna
211,1,Plato_3,Descripción del Plato_3,12,20,1,27,Ninguna
212,14,Plato_2,Descripción del Plato_2,18,30,3,35,Sin cebolla
212,14,Plato_10,Descripción del Plato_10,15,26,3,43,Sin cebolla
212,14,Plato_13,Descripción del Plato_13,13,21,1,31,Sin cebolla
212,14,Plato_16,Descripción del Plato_16,16,28,2,55,Sin cebolla
213,13,Plato_6,Descripción del Plato_6,16,27,1,53,Ninguna
213,13,Plato_2,Descripción del Plato_2,18,30,2,47,Sin cebolla
214,2,Plato_18,Descripción del Plato_18,20,34,2,14,Ninguna
214,2,Plato_20,Descripción del Plato_20,25,40,3,12,Sin cebolla
214,2,Plato_3,Descripción del Plato_3,12,20,2,12,Sin cebolla
215,6,Plato_18,Descripción del Plato_18,20,34,2,12,Ninguna
215,6,Plato_2,Descripción del Plato_2,18,30,3,34,Ninguna
216,17,Plato_1,Descripción del Plato_1,15,25,1,42,Ninguna
216,17,Plato_13,Descripción del Plato_13,13,21,3,36,Ninguna
216,17,Plato_6,Descripción del Plato_6,16,27,2,42,Ninguna
217,1,Plato_15,Descripción del Plato_15,19,32,3,13,Sin cebolla
218,13,Plato_12,Descripción del Plato_12,11,19,3,24,Sin cebolla
218,13,Plato_6,Descripción del Plato_6,16,27,3,16,Ninguna
218,13,Plato_14,Descripción del Plato_14,14,23,2,6,Ninguna
219,1,Plato_14,Descripción del Plato_14,14,23,2,12,Ninguna
219,1,Plato_17,Descripción del Plato_17,19,31,3,11,Sin cebolla
220,15,Plato_7,Descripción del Plato_7,14,24,1,13,Ninguna
221,16,Plato_15,Descripción del Plato_15,19,32,3,29,Ninguna
221,16,Plato_18,Descripción del Plato_18,20,34,2,54,Sin cebolla
221,16,Plato_9,Descripción del Plato_9,17,29,1,25,Ninguna
222,3,Plato_14,Descripción del Plato_14,14,23,3,29,Ninguna
222,3,Plato_16,Descripción del Plato_16,16,28,1,56,Ninguna
223,19,Plato_15,Descripción del Plato_15,19,32,1,53,Ninguna
224,7,Plato_10,Descripción del Plato_10,15,26,2,20,Ninguna
225,19,Plato_11,Descripción del Plato_11,20,33,3,56,Sin cebolla
225,19,Plato_14,Descripción del Plato_14,14,23,3,38,Sin cebolla
226,7,Plato_3,Descripción del Plato_3,12,20,2,7,Ninguna
226,7,Plato_13,Descripción del Plato_13,13,21,1,29,Sin cebolla
226,7,Plato_6,Descripción del Plato_6,16,27,3,56,Ninguna
226,7,Plato_9,Descripción del Plato_9,17,29,1,54,Sin cebolla
227,17,Plato_7,Descripción del Plato_7,14,24,1,58,Ninguna
227,17,Plato_17,Descripción del Plato_17,19,31,3,15,Sin cebolla
227,17,Plato_16,Descripción del Plato_16,16,28,1,13,Ninguna
227,17,Plato_11,Descripción del Plato_11,20,33,2,33,Ninguna
228,16,Plato_14,Descripción del Plato_14,14,23,3,35,Ninguna
229,14,Plato_1,Descripción del Plato_1,15,25,1,28,Sin cebolla
229,14,Plato_8,Descripción del Plato_8,21,35,1,43,Ninguna
229,14,Plato_19,Descripción del Plato_19,22,36,1,19,Sin cebolla
229,14,Plato_16,Descripción del Plato_16,16,28,1,27,Sin cebolla
230,5,Plato_15,Descripción del Plato_15,19,32,3,10,Sin cebolla
230,5,Plato_16,Descripción del Plato_16,16,28,2,24,Sin cebolla
230,5,Plato_17,Descripción del Plato_17,19,31,2,57,Sin cebolla
231,8,Plato_13,Descripción del Plato_13,13,21,2,29,Sin cebolla
231,8,Plato_18,Descripción del Plato_18,20,34,3,17,Sin cebolla
231,8,Plato_17,Descripción del Plato_17,19,31,1,53,Sin cebolla
231,8,Plato_11,Descripción del Plato_11,20,33,1,51,Ninguna
232,2,Plato_7,Descripción del Plato_7,14,24,1,50,Sin cebolla
232,2,Plato_6,Descripción del Plato_6,16,27,2,30,Sin cebolla
232,2,Plato_2,Descripción del Plato_2,18,30,2,40,Sin cebolla
232,2,Plato_10,Descripción del Plato_10,15,26,2,19,Ninguna
233,8,Plato_12,Descripción del Plato_12,11,19,2,31,Sin cebolla
234,17,Plato_2,Descripción del Plato_2,18,30,2,41,Sin cebolla
234,17,Plato_7,Descripción del Plato_7,14,24,3,35,Ninguna
234,17,Plato_17,Descripción del Plato_17,19,31,3,23,Sin cebolla
235,13,Plato_11,Descripción del Plato_11,20,33,1,25,Ninguna
236,12,Plato_11,Descripción del Plato_11,20,33,3,21,Ninguna
236,12,Plato_5,Descripción del Plato_5,13,22,1,7,Ninguna
236,12,Plato_8,Descripción del Plato_8,21,35,2,43,Sin cebolla
236,12,Plato_15,Descripción del Plato_15,19,32,2,30,Ninguna
237,4,Plato_14,Descripción del Plato_14,14,23,2,12,Ninguna
237,4,Plato_2,Descripción del Plato_2,18,30,2,25,Sin cebolla
238,13,Plato_19,Descripción del Plato_19,22,36,2,45,Sin cebolla
239,12,Plato_10,Descripción del Plato_10,15,26,1,36,Ninguna
239,12,Plato_7,Descripción del Plato_7,14,24,2,37,Ninguna
240,9,Plato_17,Descripción del Plato_17,19,31,3,32,Sin cebolla
240,9,Plato_14,Descripción del Plato_14,14,23,3,32,Sin cebolla
240,9,Plato_4,Descripción del Plato_4,10,18,2,46,Ninguna
240,9,Plato_15,Descripción del Plato_15,19,32,3,19,Ninguna
241,12,Plato_4,Descripción del Plato_4,10,18,1,11,Sin cebolla
242,12,Plato_10,Descripción del Plato_10,15,26,1,54,Ninguna
242,12,Plato_1,Descripción del Plato_1,15,25,3,40,Sin cebolla
242,12,Plato_11,Descripción del Plato_11,20,33,1,5,Ninguna
243,4,Plato_20,Descripción del Plato_20,25,40,3,22,Sin cebolla
244,17,Plato_20,Descripción del Plato_20,25,40,3,30,Ninguna
244,17,Plato_12,Descripción del Plato_12,11,19,2,59,Ninguna
245,11,Plato_4,Descripción del Plato_4,10,18,3,45,Sin cebolla
245,11,Plato_17,Descripción del Plato_17,19,31,1,23,Ninguna
245,11,Plato_20,Descripción del Plato_20,25,40,2,23,Ninguna
245,11,Plato_19,Descripción del Plato_19,22,36,3,25,Sin cebolla
246,2,Plato_6,Descripción del Plato_6,16,27,3,36,Sin cebolla
246,2,Plato_7,Descripción del Plato_7,14,24,2,10,Ninguna
246,2,Plato_8,Descripción del Plato_8,21,35,3,48,Ninguna
246,2,Plato_17,Descripción del Plato_17,19,31,3,52,Ninguna
247,11,Plato_11,Descripción del Plato_11,20,33,2,59,Sin cebolla
248,12,Plato_18,Descripción del Plato_18,20,34,1,32,Sin cebolla
248,12,Plato_9,Descripción del Plato_9,17,29,3,51,Sin cebolla
248,12,Plato_6,Descripción del Plato_6,16,27,2,6,Sin cebolla
248,12,Plato_1,Descripción del Plato_1,15,25,2,31,Ninguna
249,8,Plato_5,Descripción del Plato_5,13,22,2,51,Sin cebolla
249,8,Plato_4,Descripción del Plato_4,10,18,2,58,Ninguna
250,8,Plato_3,Descripción del Plato_3,12,20,1,29,Sin cebolla
251,12,Plato_10,Descripción del Plato_10,15,26,1,25,Sin cebolla
251,12,Plato_5,Descripción del Plato_5,13,22,1,34,Ninguna
251,12,Plato_14,Descripción del Plato_14,14,23,1,23,Sin cebolla
251,12,Plato_12,Descripción del Plato_12,11,19,2,40,Sin cebolla
252,4,Plato_1,Descripción del Plato_1,15,25,2,53,Sin cebolla
252,4,Plato_10,Descripción del Plato_10,15,26,2,31,Ninguna
253,8,Plato_1,Descripción del Plato_1,15,25,1,18,Ninguna
253,8,Plato_13,Descripción del Plato_13,13,21,2,8,Ninguna
253,8,Plato_9,Descripción del Plato_9,17,29,3,29,Sin cebolla
254,10,Plato_17,Descripción del Plato_17,19,31,3,33,Ninguna
254,10,Plato_10,Descripción del Plato_10,15,26,2,10,Sin cebolla
254,10,Plato_18,Descripción del Plato_18,20,34,2,56,Ninguna
254,10,Plato_16,Descripción del Plato_16,16,28,3,42,Sin cebolla
255,8,Plato_1,Descripción del Plato_1,15,25,1,37,Ninguna
256,5,Plato_13,Descripción del Plato_13,13,21,1,16,Ninguna
257,12,Plato_14,Descripción del Plato_14,14,23,2,28,Sin cebolla
258,12,Plato_1,Descripción del Plato_1,15,25,1,59,Ninguna
258,12,Plato_3,Descripción del Plato_3,12,20,1,31,Ninguna
258,12,Plato_15,Descripción del Plato_15,19,32,1,5,Ninguna
258,12,Plato_20,Descripción del Plato_20,25,40,1,10,Ninguna
259,10,Plato_6,Descripción del Plato_6,16,27,3,11,Sin cebolla
260,20,Plato_14,Descripción del Plato_14,14,23,3,49,Sin cebolla
261,8,Plato_15,Descripción del Plato_15,19,32,3,19,Sin cebolla
261,8,Plato_9,Descripción del Plato_9,17,29,2,36,Sin cebolla
262,18,Plato_5,Descripción del Plato_5,13,22,1,28,Sin cebolla
262,18,Plato_17,Descripción del Plato_17,19,31,3,20,Sin cebolla
263,5,Plato_15,Descripción del Plato_15,19,32,1,37,Sin cebolla
263,5,Plato_8,Descripción del Plato_8,21,35,1,30,Sin cebolla
263,5,Plato_2,Descripción del Plato_2,18,30,1,42,Ninguna
263,5,Plato_7,Descripción del Plato_7,14,24,1,40,Sin cebolla
264,2,Plato_8,Descripción del Plato_8,21,35,2,39,Sin cebolla
264,2,Plato_15,Descripción del Plato_15,19,32,1,27,Sin cebolla
264,2,Plato_2,Descripción del Plato_2,18,30,1,37,Ninguna
264,2,Plato_1,Descripción del Plato_1,15,25,2,14,Ninguna
265,6,Plato_14,Descripción del Plato_14,14,23,1,12,Ninguna
265,6,Plato_17,Descripción del Plato_17,19,31,1,17,Sin cebolla
265,6,Plato_6,Descripción del Plato_6,16,27,1,56,Ninguna
265,6,Plato_2,Descripción del Plato_2,18,30,3,50,Sin cebolla
266,4,Plato_7,Descripción del Plato_7,14,24,1,53,Ninguna
266,4,Plato_1,Descripción del Plato_1,15,25,3,53,Ninguna
267,7,Plato_15,Descripción del Plato_15,19,32,1,45,Sin cebolla
267,7,Plato_16,Descripción del Plato_16,16,28,2,23,Ninguna
267,7,Plato_2,Descripción del Plato_2,18,30,1,28,Sin cebolla
268,14,Plato_7,Descripción del Plato_7,14,24,1,39,Sin cebolla
268,14,Plato_5,Descripción del Plato_5,13,22,2,44,Sin cebolla
269,11,Plato_19,Descripción del Plato_19,22,36,3,13,Ninguna
269,11,Plato_20,Descripción del Plato_20,25,40,1,58,Sin cebolla
269,11,Plato_18,Descripción del Plato_18,20,34,3,30,Sin cebolla
270,10,Plato_18,Descripción del Plato_18,20,34,3,26,Ninguna
